Id,State
434,Bács-Kiskun
435,Baranya
436,Békés
437,Borsod-Abaúj-Zemplén
438,Budapest
439,Csongrád
440,Fejér
441,Gyor-Moson-Sopron
442,Hajdú-Bihar
443,Heves
444,Jász-Nagykun-Szolnok
445,Komárom-Esztergom
446,Nógrád
447,Pest
448,Somogy
449,Szabolcs-Szatmár-Bereg
450,Tolna
451,Vas
452,Veszprém
453,Zala
454,Aguascalientes
455,Baja California
456,Baja California Sur
457,Campeche
458,Chiapas
459,Chihuahua
460,Coahuila
461,Colima
462,Distrito Federal
463,Durango
464,Guanajuato
465,Guerrero
466,Hidalgo
467,Jalisco
468,México
469,Michoacán
470,Morelos
471,Nayarit
472,Nuevo León
473,Oaxaca
474,Puebla
475,Querétaro
476,Quintana Roo
477,San Luis Potosí
478,Sinaloa
479,Sonora
480,Tabasco
481,Tamaulipas
482,Tlaxcala
483,Veracruz
484,Yucatán
485,Zacatecas
486,Chatham Islands
487,Normandie
488,Bourgogne-Franche-Comté
489,Grand-Est
490,Occitanie
491,Nouvelle-Aquitaine
492,Hauts-de-France
493,Auvergne-Rhône-Alpes
494,Trøndelag
495,Sejong
497,Aargau
498,Appenzell Ausserrhoden
499,Appenzell Innerrhoden
500,Basel Landschaft
501,Basel Stadt
502,Bern
503,Fribourg
504,Genève
505,Glarus
506,Graubünden
507,Jura
508,Luzern
509,Neuchâtel
510,Nidwalden
511,Obwalden
512,Schaffhausen
513,Schwyz
514,Solothurn
515,St. Gallen
516,Thurgau
517,Ticino
518,Uri
519,Valais
520,Vaud
521,Zug
522,Zürich
523,Bonaire
524,Sint Eustatius
525,Saba
526,Vestland
527,Agder
528,Vestfold og Telemark
529,Innlandet
530,Viken
531,Troms og Finnmark
